Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:BCA,"Black Canyon Limited (ASX:BCA)",https://www.listcorp.com/asx/bca/black-canyon-limited,"	5471030",0.078,0.00,0,Materials
ASX:ION,"Iondrive Limited (ASX:ION)",https://www.listcorp.com/asx/ion/iondrive-limited,"	5443710",0.009,0.00,0,Materials
ASX:DYM,"Dynamic Metals Limited (ASX:DYM)",https://www.listcorp.com/asx/dym/dynamic-metals-limited,"	5400000",0.15,0.00,0,Materials
ASX:AD1,"AD1 Holdings Limited (ASX:AD1)",https://www.listcorp.com/asx/ad1/ad1-holdings-limited,"	5391890",0.006,0.00,0,"Communication Services"
ASX:NAE,"New Age Exploration Limited (ASX:NAE)",https://www.listcorp.com/asx/nae/new-age-exploration,"	5381700",0.0035,0.00,16.67,Energy
ASX:NRX,"Noronex Limited (ASX:NRX)",https://www.listcorp.com/asx/nrx/noronex-limited,"	5375600",0.011,0.00,0,Materials
ASX:NFL,"Norfolk Metals Limited (ASX:NFL)",https://www.listcorp.com/asx/nfl/norfolk-metals-limited,"	5319070",0.13,0.00,0,Materials
ASX:BHD,"Benjamin Hornigold Limited (ASX:BHD)",https://www.listcorp.com/asx/bhd/benjamin-hornigold-limited,"	5314150",0.225,0.00,2.27,Financials
ASX:CDT,"Castle Minerals Limited (ASX:CDT)",https://www.listcorp.com/asx/cdt/castle-minerals,"	5311300",0.0045,0.00,12.5,Materials
ASX:DM1,"Desert Metals Limited (ASX:DM1)",https://www.listcorp.com/asx/dm1/desert-metals-limited,"	5308510",0.02,0.00,0,Materials
ASX:USIG,"Global  X  USD  Corporate  Bond  ETF (Currency Hedged) (ASX:USIG)",https://www.listcorp.com/asx/usig/global-x-usd-corporate-bond-etf-currency-hedged,"	5307710",9.65,0.00,0,Unclassified
ASX:AYT,"Austin Metals Limited (ASX:AYT)",https://www.listcorp.com/asx/ayt/austin-metals-limited,"	5296760",0.004,0.00,0,Materials
ASX:RB6,"Rubix Resources Limited (ASX:RB6)",https://www.listcorp.com/asx/rb6/rubix-resources-limited,"	5284700",0.086,0.00,0,Materials
ASX:EVE,"Eve Health Group Limited (ASX:EVE)",https://www.listcorp.com/asx/eve/eve-health-group-limited,"	5274480",0.001,0.00,0,"Consumer Staples"
